BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2,12500,850,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,7500,350,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,15000,900,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,6000,550,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,5000,500,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,22000,1100,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,15000,850,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,12500,800,2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2,7000,630,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,21000,900,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
1,10000,270,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,7200,630,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,12000,1500,0,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner
1,5000,600,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,8500,700,4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,6000,300,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,10000,1300,0,Super Area,Kolkata,Semi-Furnished,Family,2,Contact Owner
2,4600,400,3,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2,12000,650,0,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
3,30000,2000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,15000,1068,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,7500,150,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,7500,450,2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,5000,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,15000,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,11000,900,5,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
1,7000,600,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,6000,1200,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,6000,1200,2,Super Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2,7000,650,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,8500,720,4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,5000,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,30000,1200,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2,10000,700,7,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,30000,2000,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,3500,250,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,8000,1100,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1,5000,300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,7500,600,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,6500,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,7500,680,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,7500,680,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,16000,850,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2,16000,850,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2,6500,700,0,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,40000,1500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,12500,950,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,5500,500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,5000,450,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,6500,700,0,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1,8000,500,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,14500,1800,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,8200,500,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,15000,480,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
6,20000,1000,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,6700,800,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,10000,435,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,7000,700,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,22000,800,4,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Agent
2,6500,450,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,8500,550,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,18000,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2,12000,550,0,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner
1,9000,600,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,6000,500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,20000,1000,1,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
1,5000,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,12000,1200,1,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2,10000,500,3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
4,18000,1200,1,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
2,15000,900,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,22000,1300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
4,35000,1600,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
3,21000,1450,0,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
2,25000,1100,2,Super Area,Kolkata,Furnished,Bachelors,2,Contact Agent
2,180000,950,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,6000,600,8,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,14000,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,8000,750,0,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner
2,8000,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,6000,220,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,8000,300,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
1,6000,300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
1,20000,700,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,12000,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,15000,1600,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,14000,1000,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,5000,20,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,7000,400,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,3900,200,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
3,14000,840,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
1,6300,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2,13000,550,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
1,6800,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2,8000,800,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,10000,740,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,18000,1300,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,8000,650,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,8000,490,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,4700,250,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,4700,250,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,4500,450,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,6000,300,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,16000,750,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,4700,250,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,14000,751,3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,9000,900,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2,5000,400,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,17500,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,8500,1000,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,15000,1500,1,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner
2,12500,750,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,13000,1200,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,8000,700,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,8000,700,4,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,8000,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,7000,1200,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,2200,550,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,8000,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,5500,280,1,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,20000,1100,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2,7000,950,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
1,3500,250,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,5000,1000,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,20000,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,7000,650,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,10000,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,7000,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,12000,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,14500,900,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
1,6000,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,9500,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,10000,450,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,3500,120,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,9000,800,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,40000,1220,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,16500,1100,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,8000,700,0,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner
2,12000,800,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,6500,670,2,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner
4,40000,1300,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
1,5000,190,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,9000,700,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,7000,240,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,18000,850,2,Carpet Area,Kolkata,Semi-Furnished,Family,1,Contact Owner
1,9000,950,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,5500,450,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,7500,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,4000,600,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,10500,800,2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
3,15000,1100,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,15000,800,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,50000,2200,2,Super Area,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
2,12000,950,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2,11000,550,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,12000,1800,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2,8000,1000,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,18000,600,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,8000,750,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,7000,685,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
1,6500,44,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
4,13000,1200,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,9000,500,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
4,10000,1110,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,12000,1000,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,5000,392,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,6000,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,5200,750,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,15000,1500,1,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
2,9000,900,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,24000,710,1,Super Area,Kolkata,Furnished,Bachelors,1,Contact Agent
1,5500,400,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,10000,700,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,15000,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,4700,250,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,5000,500,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,5000,450,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,15000,1400,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,5000,500,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,6000,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,18000,1200,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,8000,450,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1,13000,500,2,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Agent
2,7500,400,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,12000,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,11000,750,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1,6000,450,0,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner
3,20000,1000,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2,7000,500,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
4,30000,1600,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2,7500,550,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1,6500,550,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,3000,200,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,5200,650,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,25000,1000,1,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2,12500,680,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,8500,720,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,3500,500,4,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,7000,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,3000,160,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,14000,1200,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
1,18000,700,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
1,3500,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,16000,1250,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
4,35000,1600,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2,21000,700,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,4500,450,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,15000,839,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,4500,230,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,5500,1800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,8500,800,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,5000,500,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,8500,620,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,9000,650,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,7500,550,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,7000,450,1,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner
3,15000,1350,1,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner
2,7000,600,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,10000,1200,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,7000,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
3,3200,800,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2,6000,600,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,12000,900,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,6000,750,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,10000,1250,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,12000,1000,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
2,8000,600,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,5300,650,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,5000,450,2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,8500,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,22000,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,7000,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,25000,1400,5,Carpet Area,Kolkata,Furnished,Bachelors,3,Contact Agent
2,7000,600,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2,15000,723,0,Carpet Area,Kolkata,Furnished,Family,1,Contact Owner
1,6000,320,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,8000,900,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,40000,1400,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
1,6000,2160,1,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2,15000,650,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,6500,800,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,8000,800,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,5500,500,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,9000,1700,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,6000,130,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,15000,505,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
4,30000,4000,0,Super Area,Kolkata,Furnished,Bachelors/Family,3,Contact Agent
3,30000,1250,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
1,5000,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,15000,900,0,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1,6500,650,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,4500,750,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2,7000,450,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,6500,350,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,17500,480,1,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner
2,10000,900,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,1500,200,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,25000,1100,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2,12000,800,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,7500,1000,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
1,7000,800,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,3500,200,Upper,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,10000,1190,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,14000,900,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2,15000,1500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,6500,600,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,10000,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,10500,800,1,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner
3,10000,900,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,5000,350,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,9000,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,20000,1600,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
3,35000,1012,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,15000,1200,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2,20000,700,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
